Date,Target_x,TArget_y,Target_z,camRotation_x,camRotation_y,camRotation_z
174,-9.16, 52.16, 29.03,0.55, 342.31, 0.00,
175,-9.16, 52.15, 29.03,0.55, 342.31, 0.00,
176,-9.16, 52.14, 29.03,0.55, 342.31, 0.00,
177,-9.16, 52.13, 29.03,0.55, 342.31, 0.00,
178,-9.16, 52.12, 29.03,0.55, 342.31, 0.00,
179,-9.16, 52.10, 29.03,0.55, 342.36, 0.00,
180,-9.16, 52.09, 29.03,0.55, 342.36, 0.00,
181,-9.16, 52.07, 29.03,0.55, 342.36, 0.00,
182,-9.16, 52.06, 29.03,0.55, 342.36, 0.00,
183,-9.16, 52.01, 29.03,0.55, 342.36, 0.00,
184,-9.16, 51.99, 29.03,0.55, 342.36, 0.00,
185,-9.16, 51.98, 29.03,0.55, 342.36, 0.00,
186,-9.16, 51.97, 29.03,0.55, 342.36, 0.00,
187,-9.16, 51.96, 29.03,0.55, 342.36, 0.00,
188,-9.16, 51.95, 29.03,0.55, 342.36, 0.00,
189,-9.16, 51.94, 29.03,0.55, 342.36, 0.00,
190,-9.16, 51.93, 29.03,0.55, 342.36, 0.00,
191,-9.16, 51.92, 29.03,0.55, 342.36, 0.00,
192,-9.16, 51.91, 29.03,0.55, 342.36, 0.00,
193,-9.16, 51.90, 29.03,0.55, 342.36, 0.00,
194,-9.16, 51.89, 29.03,0.55, 342.36, 0.00,
195,-9.16, 51.87, 29.03,0.55, 342.36, 0.00,
196,-9.16, 51.86, 29.03,0.55, 342.36, 0.00,
197,-9.16, 51.85, 29.03,0.55, 342.36, 0.00,
198,-9.16, 51.84, 29.03,0.55, 342.36, 0.00,
199,-9.16, 51.83, 29.03,0.55, 342.36, 0.00,
200,-9.16, 51.82, 29.03,0.55, 342.36, 0.00,
201,-9.16, 51.81, 29.03,0.55, 342.36, 0.00,
202,-9.16, 51.80, 29.03,0.55, 342.36, 0.00,
203,-9.16, 51.78, 29.03,0.55, 342.36, 0.00,
204,-9.16, 51.77, 29.03,0.55, 342.36, 0.00,
205,-9.16, 51.76, 29.03,0.55, 342.36, 0.00,
206,-9.16, 51.75, 29.03,0.55, 342.36, 0.00,
207,-9.16, 51.74, 29.03,0.55, 342.36, 0.00,
208,-9.16, 51.73, 29.03,0.55, 342.36, 0.00,
209,-9.16, 51.72, 29.03,0.55, 342.36, 0.00,
210,-9.16, 51.71, 29.03,0.55, 342.36, 0.00,
211,-9.16, 51.70, 29.03,0.55, 342.36, 0.00,
212,-9.16, 51.69, 29.03,0.55, 342.36, 0.00,
213,-9.16, 51.68, 29.03,0.55, 342.36, 0.00,
214,-9.16, 51.67, 29.03,0.55, 342.36, 0.00,
215,-9.16, 51.66, 29.03,0.55, 342.36, 0.00,
216,-9.16, 51.65, 29.03,0.55, 342.36, 0.00,
217,-9.16, 51.63, 29.03,0.55, 342.36, 0.00,
218,-9.16, 51.62, 29.03,0.55, 342.36, 0.00,
219,-9.16, 51.61, 29.03,0.55, 342.36, 0.00,
220,-9.16, 51.60, 29.03,0.55, 342.36, 0.00,
221,-9.16, 51.59, 29.03,0.55, 342.36, 0.00,
222,-9.16, 51.58, 29.03,0.55, 342.36, 0.00,
223,-9.16, 51.57, 29.03,0.55, 342.36, 0.00,
224,-9.16, 51.56, 29.03,0.55, 342.36, 0.00,
225,-9.16, 51.55, 29.03,0.55, 342.36, 0.00,
226,-9.16, 51.54, 29.03,0.55, 342.36, 0.00,
227,-9.16, 51.52, 29.03,0.55, 342.36, 0.00,
228,-9.16, 51.51, 29.03,0.55, 342.36, 0.00,
229,-9.16, 51.50, 29.03,0.55, 342.36, 0.00,
230,-9.16, 51.49, 29.03,0.55, 342.36, 0.00,
231,-9.16, 51.48, 29.03,0.55, 342.36, 0.00,
232,-9.16, 51.47, 29.03,0.55, 342.36, 0.00,
233,-9.16, 51.46, 29.03,0.55, 342.36, 0.00,
234,-9.16, 51.45, 29.03,0.55, 342.36, 0.00,
235,-9.16, 51.44, 29.03,0.55, 342.36, 0.00,
236,-9.16, 51.42, 29.03,0.55, 342.36, 0.00,
237,-9.16, 51.41, 29.03,0.55, 342.36, 0.00,
238,-9.16, 51.40, 29.03,0.55, 342.36, 0.00,
239,-9.16, 51.39, 29.03,0.55, 342.36, 0.00,
240,-9.16, 51.38, 29.03,0.55, 342.36, 0.00,
241,-9.16, 51.37, 29.03,0.55, 342.36, 0.00,
242,-9.16, 51.36, 29.03,0.55, 342.36, 0.00,
243,-9.16, 51.35, 29.03,0.55, 342.36, 0.00,
244,-9.16, 51.34, 29.03,0.55, 342.36, 0.00,
245,-9.16, 51.33, 29.03,0.55, 342.36, 0.00,
246,-9.16, 51.32, 29.03,0.55, 342.36, 0.00,
247,-9.16, 51.31, 29.03,0.55, 342.36, 0.00,
248,-9.16, 51.30, 29.03,0.50, 342.36, 0.00,
249,-9.16, 51.28, 29.03,0.50, 342.36, 0.00,
250,-9.16, 51.27, 29.03,0.50, 342.36, 0.00,
251,-9.16, 51.26, 29.03,0.50, 342.41, 0.00,
252,-9.16, 51.24, 29.03,0.40, 342.41, 0.00,
253,-9.16, 51.23, 29.03,0.40, 342.41, 0.00,
254,-9.16, 51.22, 29.03,0.40, 342.41, 0.00,
255,-9.16, 51.21, 29.03,0.35, 342.41, 0.00,
256,-9.16, 51.20, 29.03,0.30, 342.46, 0.00,
257,-9.16, 51.18, 29.03,0.30, 342.46, 0.00,
258,-9.16, 51.17, 29.03,0.25, 342.46, 0.00,
259,-9.16, 51.15, 29.03,0.20, 342.51, 0.00,
